subject,fuzzer,fuzzer_label,elapsed_min,value,runs
exim,aflnet,AFLNet,1080,85.5,10
exim,aflnet,AFLNet,1140,85.7,10
exim,aflnet,AFLNet,1200,86.1,10
exim,aflnet,AFLNet,1260,86.5,10
exim,aflnet,AFLNet,1320,87.2,10
exim,aflnet,AFLNet,1380,87.8,10
exim,aflnet,AFLNet,1440,88.1,10
exim,chatafl,ChatAFL,0,58.9,10
exim,chatafl,ChatAFL,60,82.7,10
exim,chatafl,ChatAFL,120,87.2,10
exim,chatafl,ChatAFL,180,88.8,10
exim,chatafl,ChatAFL,240,91.7,10
exim,chatafl,ChatAFL,300,96.8,10
exim,chatafl,ChatAFL,360,100.6,10
exim,chatafl,ChatAFL,420,102.7,10
exim,chatafl,ChatAFL,480,105.0,10
exim,chatafl,ChatAFL,540,106.2,10
exim,chatafl,ChatAFL,600,106.7,10
exim,chatafl,ChatAFL,660,108.2,10
exim,chatafl,ChatAFL,720,109.2,10
exim,chatafl,ChatAFL,780,110.4,10
exim,chatafl,ChatAFL,840,111.4,10
exim,chatafl,ChatAFL,900,111.6,10
exim,chatafl,ChatAFL,960,112.8,10
exim,chatafl,ChatAFL,1020,113.6,10
exim,chatafl,ChatAFL,1080,114.4,10
exim,chatafl,ChatAFL,1140,115.0,10
exim,chatafl,ChatAFL,1200,115.2,10
exim,chatafl,ChatAFL,1260,115.6,10
exim,chatafl,ChatAFL,1320,116.1,10
exim,chatafl,ChatAFL,1380,116.3,10
exim,chatafl,ChatAFL,1440,116.4,10
exim,chatafl_opt,LoopFuzz,0,65.5,10
exim,chatafl_opt,LoopFuzz,60,86.4,10
exim,chatafl_opt,LoopFuzz,120,97.7,10
exim,chatafl_opt,LoopFuzz,180,103.2,10
exim,chatafl_opt,LoopFuzz,240,105.2,10
exim,chatafl_opt,LoopFuzz,300,110.0,10
exim,chatafl_opt,LoopFuzz,360,112.6,10
exim,chatafl_opt,LoopFuzz,420,115.4,10
exim,chatafl_opt,LoopFuzz,480,119.1,10
exim,chatafl_opt,LoopFuzz,540,120.6,10
exim,chatafl_opt,LoopFuzz,600,121.8,10
exim,chatafl_opt,LoopFuzz,660,122.4,10
exim,chatafl_opt,LoopFuzz,720,123.3,10
exim,chatafl_opt,LoopFuzz,780,123.6,10
exim,chatafl_opt,LoopFuzz,840,124.2,10
exim,chatafl_opt,LoopFuzz,900,124.7,10
exim,chatafl_opt,LoopFuzz,960,125.5,10
exim,chatafl_opt,LoopFuzz,1020,125.6,10
exim,chatafl_opt,LoopFuzz,1080,125.9,10
exim,chatafl_opt,LoopFuzz,1140,126.4,10
exim,chatafl_opt,LoopFuzz,1200,126.8,10
exim,chatafl_opt,LoopFuzz,1260,127.3,10
exim,chatafl_opt,LoopFuzz,1320,127.6,10
exim,chatafl_opt,LoopFuzz,1380,127.8,10
exim,chatafl_opt,LoopFuzz,1440,128.5,10
live555,aflnet,AFLNet,0,7.8,10
live555,aflnet,AFLNet,60,79.7,10
live555,aflnet,AFLNet,120,82.5,10
live555,aflnet,AFLNet,180,84.1,10
live555,aflnet,AFLNet,240,85.1,10
live555,aflnet,AFLNet,300,85.7,10
live555,aflnet,AFLNet,360,87.0,10
live555,aflnet,AFLNet,420,88.0,10
live555,aflnet,AFLNet,480,88.7,10
live555,aflnet,AFLNet,540,89.2,10
live555,aflnet,AFLNet,600,91.0,10
live555,aflnet,AFLNet,660,92.3,10
live555,aflnet,AFLNet,720,93.8,10
live555,aflnet,AFLNet,780,94.9,10
live555,aflnet,AFLNet,840,95.6,10
live555,aflnet,AFLNet,900,96.5,10
live555,aflnet,AFLNet,960,97.2,10
live555,aflnet,AFLNet,1020,99.5,10
live555,aflnet,AFLNet,1080,99.8,10
live555,aflnet,AFLNet,1140,100.1,10
live555,aflnet,AFLNet,1200,100.6,10
live555,aflnet,AFLNet,1260,101.9,10
live555,aflnet,AFLNet,1320,102.5,10
live555,aflnet,AFLNet,1380,102.8,10
live555,aflnet,AFLNet,1440,103.4,10
live555,chatafl,ChatAFL,0,58.8,10
live555,chatafl,ChatAFL,60,130.6,10
live555,chatafl,ChatAFL,120,137.3,10
live555,chatafl,ChatAFL,180,140.7,10
live555,chatafl,ChatAFL,240,142.6,10
live555,chatafl,ChatAFL,300,143.8,10
live555,chatafl,ChatAFL,360,145.1,10
live555,chatafl,ChatAFL,420,146.0,10
live555,chatafl,ChatAFL,480,146.5,10
live555,chatafl,ChatAFL,540,147.2,10
live555,chatafl,ChatAFL,600,147.4,10
live555,chatafl,ChatAFL,660,147.9,10
live555,chatafl,ChatAFL,720,148.4,10
live555,chatafl,ChatAFL,780,148.8,10
