subject,fuzzer,fuzzer_label,elapsed_min,value,runs
exim,aflnet,AFLNet,780,3691.1,10
exim,aflnet,AFLNet,840,3725.0,10
exim,aflnet,AFLNet,900,3729.5,10
exim,aflnet,AFLNet,960,3734.8,10
exim,aflnet,AFLNet,1020,3739.1,10
exim,aflnet,AFLNet,1080,3743.2,10
exim,aflnet,AFLNet,1140,3754.2,10
exim,aflnet,AFLNet,1200,3762.4,10
exim,aflnet,AFLNet,1260,3772.0,10
exim,aflnet,AFLNet,1320,3774.5,10
exim,aflnet,AFLNet,1380,3776.5,10
exim,aflnet,AFLNet,1440,3783.0,10
exim,chatafl,ChatAFL,0,2603.3,10
exim,chatafl,ChatAFL,60,3439.9,10
exim,chatafl,ChatAFL,120,3453.3,10
exim,chatafl,ChatAFL,180,3502.1,10
exim,chatafl,ChatAFL,240,3525.4,10
exim,chatafl,ChatAFL,300,3557.5,10
exim,chatafl,ChatAFL,360,3596.8,10
exim,chatafl,ChatAFL,420,3608.7,10
exim,chatafl,ChatAFL,480,3615.7,10
exim,chatafl,ChatAFL,540,3625.5,10
exim,chatafl,ChatAFL,600,3640.6,10
exim,chatafl,ChatAFL,660,3644.2,10
exim,chatafl,ChatAFL,720,3648.6,10
exim,chatafl,ChatAFL,780,3661.7,10
exim,chatafl,ChatAFL,840,3664.9,10
exim,chatafl,ChatAFL,900,3675.9,10
exim,chatafl,ChatAFL,960,3689.5,10
exim,chatafl,ChatAFL,1020,3695.3,10
exim,chatafl,ChatAFL,1080,3695.3,10
exim,chatafl,ChatAFL,1140,3697.7,10
exim,chatafl,ChatAFL,1200,3705.9,10
exim,chatafl,ChatAFL,1260,3714.9,10
exim,chatafl,ChatAFL,1320,3723.6,10
exim,chatafl,ChatAFL,1380,3727.5,10
exim,chatafl,ChatAFL,1440,3730.4,10
exim,chatafl_opt,LoopFuzz,0,2907.3,10
exim,chatafl_opt,LoopFuzz,60,3487.4,10
exim,chatafl_opt,LoopFuzz,120,3563.2,10
exim,chatafl_opt,LoopFuzz,180,3624.2,10
exim,chatafl_opt,LoopFuzz,240,3644.1,10
exim,chatafl_opt,LoopFuzz,300,3663.4,10
exim,chatafl_opt,LoopFuzz,360,3711.8,10
exim,chatafl_opt,LoopFuzz,420,3741.0,10
exim,chatafl_opt,LoopFuzz,480,3753.0,10
exim,chatafl_opt,LoopFuzz,540,3767.2,10
exim,chatafl_opt,LoopFuzz,600,3786.9,10
exim,chatafl_opt,LoopFuzz,660,3790.1,10
exim,chatafl_opt,LoopFuzz,720,3807.7,10
